    B5  B4  B3  B2  B1  P5  P4  P3  P2  P1      O5      O4      O3      O2      O1      PL5     PL4     PL3     PL2     PL1     D5      D4      D3      D2      D1      MC
B5  0   100 200 300 400 600 700 800 900 1000    1200    1300    1400    1500    1600    1900    2050    2200    2350    2500    2900    3050    3300    3500    3700    4400
B4  0   0   100 200 300 500 600 700 800 900     1100    1200    1300    1400    1500    1800    1950    2100    2250    2400    2800    2950    3200    3400    3600    4300    
B3  0   0   0   100 200 400 500 600 700 800     1000    1100    1200    1300    1400    1700    1850    2000    2150    2300    2700    2850    3100    3300    3500    4200    
B2  0   0   0   0   100 300 400 500 600 700     900     1000    1100    1200    1300    1600    1750    1900    2050    2200    2600    2750    3000    3200    3400    4100
B1  0   0   0   0   0   200 300 400 500 600     800     900     1000    1100    1200    1500    1650    1800    1950    2100    2500    2650    2900    3100    3300    4000
P5  0   0   0   0   0   0   100 200 300 400     600     700     800     900     1000    1300    1450    1600    1750    1900    2300    2450    2700    2900    3100    3800    
P4  0   0   0   0   0   0   0   100 200 300     500     600     700     800     900     1200    1350    1500    1650    1800    2200    2350    2600    2800    3000    3700
P3  0   0   0   0   0   0   0   0   100 200     400     500     600     700     800     1100    1250    1400    1550    1700    2100    2250    2500    2700    2900    3600
P2  0   0   0   0   0   0   0   0   0   100     300     400     500     600     700     1000    1150    1300    1450    1600    2000    2150    2400    2600    2800    3500
P1  0   0   0   0   0   0   0   0   0   0       200     300     400     500     600     900     1050    1200    1350    1500    1900    2050    2300    2500    2700    3400
O5  0   0   0   0   0   0   0   0   0   0       0       100     200     300     400     700     850     1000    1150    1300    1700    1850    2100    2300    2500    3200
O4  0   0   0   0   0   0   0   0   0   0       0       0       100     200     300     600     750     900     1050    1200    1600    1750    2000    2200    2400    3100
O3  0   0   0   0   0   0   0   0   0   0       0       0       0       100     200     500     650     800     950     1100    1500    1650    1900    2100    2300    3000
O2  0   0   0   0   0   0   0   0   0   0       0       0       0       0       100     400     550     700     850     1000    1400    1550    1800    2000    2200    2900
O1  0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       300     450     600     750     900     1300    1450    1700    1900    2100    2800
PL5 0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       0       150     300     450     600     1000    1150    1400    1600    1900    2600
PL4 0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       0       0       150     300     450     850     1000    1250    1450    1750    2450
PL3 0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       0       0       0       150     300     700     850     1100    1300    1600    2300
PL2 0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       0       0       0       0       150     550     700     950     1150    1450    2150
PL1 0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       0       0       0       0       0       400     550     800     1000    1300    2000
D5  0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       0       0       0       0       0       0       150     650     850     1150    1850
D4  0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       0       0       0       0       0       0       0       500     450     750     1350
D3  0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       200     400     1100
D2  0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       200     900
D1  0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       700
MC  0   0   0   0   0   0   0   0   0   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
